,리뷰,평점
2851,마지막 뛰는 장면에서 감동이 밀려온다...,10
2852,온몸으로 긴장하고 집중하면서 봤다ㅠㅠ 최고,10
2853,덩케르크 이후 최고의 전율이 뭔지를 느꼈다. 샘 멘데스와 로저 디킨스가 완성한 완벽한 결정체 마스터피스였다. 이게 실화라니 믿기지가 않았다. 실화라서 더 잼있었던 영화.. 원 컨티뉴어스 숏 누가 이영화를 나눠 찍은 ...,10
2854,아 ㅅㅂ 불다로 받아봤는데..극장가서 볼껄..이런걸 극장에서 봐야되는데ㅠㅠ 기생충 운좋다 기생충은 극장에서 보나 집에서보나 차이가 없지만 얘는 무조건 극장에서 봐야됨...아 후회되네,9
2855,왜 기생충과 함께 끝까지 아카데미 작품상 경쟁했는지 알 것 같다.. 이게 탔어도 손색이 없음.. 아맥에서 꼭 한번 더 봐야겠다..,10
2856,"내가 전쟁터에서 임무 수행한 기분...감동보단 영상미, 연출. 기생충 아니였음 작품상.",10
2857,"그래비티에서 느꼈던 압박감과 긴장감을 느낄 수 있는 연출스토리는 재미가 없다라고 평할 수도 있겠지만, 스토리의 기승전결은 좋았던거 같다. 상황에 따라 바뀌는 배경을 찾아보는 것도 재밌는듯",9
2858,ㅋㅋ다 필요없고 그냥 이 영화가 모든 상을 다 받았어야지 ㅋㅋ 진심 간만에 영화다운 영화를 봤다,10
2859,영화를 보는것 같다가도 연극을 보는것 같다가도 게임을 하는것 같다가도... 일타삼피형 영화,8
2860,"크게 '한 숨' 들이쉬고 끝까지 달리는 전쟁영화. 잔인하지만 아름답고, 숨가쁘지만 평화롭다. 절대 반지를 옮기는 프로도의 '여정'인 줄 알았으나,사실, 그래비티의 처절한 '생존기&...",10
2861,처절하고 무겁고 슬픈 스코필드의 행보.. 그의 옆에서 전쟁의 잔혹함을 느끼고 그 잔혹함을 느끼는 그의 감정 또한 느껴버렸다.,9
2862,감독의 숨겨진 은유에 놀라움을 느끼며주님을 향한 개인 구원을 표현한 놀라운 작품이다.마지막 환란을 십자가와 화염에 싸인 도시에맞닥뜨린 자신에 투영된듯한 적에게서섬뜻함을 느꼈다.놀라운 기독교적 구원을 담은 영화박수를 ...,10
2863,"이 영화를 보지 않으신 분들이 있으시다면, 무조건 IMAX로 관람을 하세요. 새로운 경험을 하실 겁니다.",10
2864,"폐허가 된 프랑스 마을에서의 시퀀스는 전부 예술 그 자체... 조명탄과 독일군과의 추격전, 프랑스 여인과의 만남까지...",10
2865,살아 숨쉬는 카메라! 덩케르크 보고 정말 놀랍다 생각했는데 이건 그이상이다. 로저 디킨스의 촬영과 샘 멘데스의 연출력은 그야말로 장인의 솜씨. 스크린 밖 관망자가 아닌 전쟁터 속 그들과 함께 동행한 기분. 감탄만 나...,10
2866,놀랍다는 말밖에 안나온다,10
2867,영화에 담긴 철학적 메세지,10
2868,,10
2869,"모든게 완벽하다긴장감, 연출, 스토리, 배경.. 극장에 또 가야한다",10
2870,산넘고 물건너 바다건너서 ...NG내면 카메라 감독한테 맞을거 같다.카메라 워킹이 거의 아이폰수준...몰입도 최고네.,8
2871,영화관에서 봐서 참 다행이다.,10
2872,난 어떻게 1차 세계대전의 프랑스로 가게 되었을까?,10
2873,미안한데 기생충보고는 이런느낌못받았다상이 엉뚱한데로 갔지않나싶다,10
2874,"보는 내내 씁쓸하면서 전쟁의 참상, 전쟁안에서의 삶의 덧없음이 여과없이 나옴. 주말에 스펙터클한 전쟁영화를 기대한다면 비추",9
2875,촬영 감독은 무사하신가요?,10
2876,OOO 재미없고...어떻게 저런 영화가 기생충하고 경쟁을 했다는게 전혀 이해가 안감.머리속에 남는데 하나도 없어...ㅠㅠ,1
2877,미쳤다...이건 진짜다,10
2878,"콜린퍼스, 베니, 마크스트롱 등 거물급 인물들의 등장을 많지 않게 하면서 두 주인공들 위주로 스토리를 꾸려가는게 욕심을 부리지 않고 스토리와 영상 등으로 승부를 보겠다는게 와닿았다.. 저 배우들이 나온다는걸 알고봤지...",10
2879,"하.,영화촬영 기법에 대해 하나도 모르지만 처음부터 끝까지 상황에 들어 가있는 긴장감의 연속ㅜ",10
2880,스토리는 별거 없다....내용도 별로 없고...이영화는 스토리보단 비주얼에 올인한듯 하다배경이나 색감 카메라워크는 상당하다,8
2881,,10
2882,NG내기 두려웠겠다... 이런 영화가 있구나.전쟁터 한복판에서 같이 뛰다 온 기분.,10
2883,그냥 말이필요없는 지리는 영화,10
2884,너무너무 감명깊게 봤어요,10
2885,보지마요  졸라재미 없슴이거보고   젬있다는 사람이해 안됨,2
2886,그냥 한마디로 대박!!!영화보는 내내 1917년에 살다 나온거 같아요.,10
2887,기생충의 적수라 할만했음 근데 여운은 별로 없었던듯,10
2888,꿀잼 완전 재미있다와 대박,9
2889,말이필요없다 그냥봐라,10
2890,다시 한번 한국 영화의 한계를 보았다,10
2891,그냥 미쳤어.이영화를 누르고 상을 거머쥔 기생충이 기적일 따름이야.,10
2892,연출 연기 스토리 는 말할 것 없이 최고였고 특히 노랫말이 너무 구슬펐다...,10
2893,와....기대하고 봤는데 기대이상. 강추합니다.,10
2894,1차 세계 대전 현장에 직접 가있는 느낌을 받았습니다.,10
2895,너무너무너무 재밌어요,10
2896,원테이크처럼 보이는 기법이야 버드맨도 있었고 우리나라에 마법사들도 있었음. 오히려 원테이크라는 화제성에 주연의 연기와 영상미가 묻히는듯해서 안타까움. 새벽 시가지 씬의 영상미와 주연의 열연이 더 기억에 남음. 개인적...,8
2897,"좋은 영화입니다. 약간 덩케르크 생각하시고 보면 될 것 같아요. 덩케르크와 마찬가지로 장면 장면이 무서운 게 아니라 영화 속 사운드와 연출을 통해 전쟁의 분위기가 고스란히 전해져 두려움과 공포심이 느껴졌는데, 191...",10
2898,어떻게 이렇게 잘 만들수가 있을까!!!!,10
2899,"연출 연기 스토리 영상미 OST 어느것하나 빠지지 않는 영화. 롱테이크 촬영작이라는 신선함, 그에 따른 영화 몰입 등 개인적으로 사운드 빵빵한 4DX 관람을 추천한다",10
2900,"촬영, 음향효과 인정, 다른 전쟁영화와 다른 시도 인정(사실상 서사가 없음), 영화는 체험이다 인정!그러나뭔가 아쉬움 듯함... 세트장 좀 가짜같이 보이는거 나만 그런가? 누가봐도 세트장에서 찍은 것 같음. 골든 글...",8
2901,"솔까 기생충 대신 1917이 아카데미 작품상,감독상 받았어야 했다... 이 영화 보면 기생충이 상 탄거 절대 이해못함 ㄹㅇ..",10
2902,영화를 보는 내내 스크린속에 있다가 집으로 돌아가는길에 눈물이 나왔습니다,9
2903,마지막쯤 달릴때 호루라기 소리에 달려가는 병사들이 좀 안타까웠음,10
2904,"뭔 내용인지 아무것도 모르고 봤었는데, 얼마나 대단한 영화인지 알고 봤으면 더 재밌었을 뻔 했네요. 영알못라 그런건지, 별 생각 없이 본 관점으로써 실제 전쟁 상황을 겪는듯한 연출과 영상미, 연기는 훌륭하였지만, 큰...",8
2905,대단한 영화인지는 모르겠어요ㅠ 남자친구랑 둘다 졸았고요 꼭 봐라!!이거보단 볼만하다요 ..,4
2906,엉덩이에 근육 뽝 들어가서 강제 힙업운동 2시간 하고 나왔습니다... 여러분 ...음악감독이름은 토머스 뉴먼입니다... 기억하셔야 합니다....,10
2907,결국 다시 처음과 같은 곳으로,10
2908,시국이 이런데 영화보러가는 너네인생이 레전드,7
2909,이거 중간에 ng나면 처음부터 다시 찍냐?촬영에 특화된 좋은영화지만 작품상은 기생충이 맞는거 같다.,8
2910,내가 직접 겪는거 처럼  심장이 쫄깃쫄깃 하면서도 옆 병사가 쓰러져도 달려라 ?군인들이 안쓰러워보이면서도1600명 군대 목숨 살리기위해 본인은 죽음을 무릅쓰고 찾아간거 진짜 영웅ㅇ정신 아니면 못할듯?,10
2911,"어떻게 카메라 워킹이 이렇게 멋잇을 수가 있는지 전쟁영화에서 이런거  본적이 없는데 진짜 대박이고, 영상미도 좋고, 초반 시작부터 몰아치는 몰입감은 끝날때까지 이어짐. 완벽함",9
2912,평점이나  수보다는 좀 떨어지는 영화. 사실 보고 난 후에는 이게 평점9점이 넘는다고..? 라는 생각이 들음. 그래픽이나 그 당시 시대를 정말 잘 표현은 했지만 스토리나 그런걸로 봤을때는 그냥 무난... 그렇지...,8
2913,촬영으로보여줄수있는최고의 효과,10
2914,주차권이 숫자여서 뭔가했네 19열 17번째 주차하면됨,1
2915,,10
2916,우리가 주인공이 되어 전장을 뛰어다니는 느낌,10
2917,미국국뽕은무슨.. 영화보긴봤나 영국군 이야기인데,10
2918,영국인 ‘정우’의 순한맛 레버넌트,10
2919,영화를 어떻게 평가하건 개인의 주관을 이래라 저래라 할 수는 없지만 진짜 말도 안되는 이유로 1점 테러하는 OOO들은 그냥 영화를 보지마라,10
2920,이거보면 불면증 깔끔하고 말끔히낫습니다,1
2921,연출은 좋다 하지만 실화바탕이라 그런지 지루하기도 하고 좀 미국국뽕 한사바리 조지는 느낌이라 좀;;;,1
2922,이게 진정한 영화다.정직한 지푸라기 비교불가다,10
2923,스토리 너무 허무피는 나다가 멈추고붕대는 없어졌다 생겼다ㅎㅎ,5
2924,명작중 명작! 전쟁이란 소재에 인간의 내면을 포장한 서정적인 드라마! 연출 촬영 음향 시각효과 이모든 아우라가 잘 조합된 오케스트라!,10
2925,Last man standing.... 묵직한 대사,9
2926,다음주면 다른 명령이 내려온다는 말이 인상 깊었다. 마지막 병사가 죽기 전에 전쟁은 끝나지 않는다는 것도.,10
2927,아카데미에서 상 받을 정도로  명작인데 지금 개봉하면 안됐을 영화,10
2928,잘 만들어진 전쟁영화임과 동시에 인간 내면의 여러 모습을 들여다볼 수 있게 해주는 한편의 인문학 강의이다. 2시간동안 긴장의 끈을 한시라도 놓을수가 없었다. 올해 1분기도 아직 지나가지 않은 현시점에서 올해 최고의 ...,10
2929,막 여기저기 뻥뻥터지는 전쟁영화를 기대한다면 실망하겠지만적당히 서정적이고 다소 덜시끄러운 전쟁의 모습을 보여주는 모습은 괜찮음.걍괜찬은영화임 8점,8
2930,몰입감 최고~ 진짜로 한번에 찍었다면 예술 그자체~ 하지만 약간 범위가 작다는 느낌이 드네요~ 기생충보다 이거에 1표,7
2931,다좋은데 병사들에임이 말도안되게 못맞추는건 너무 현실성 떨어짐 그럴꺼면 총들지말고 칼로 싸우지,10
2932,훌륭한 연출이다. 하지만 위대한 촬영에 가려 그 빛을 잃고 말았다. 전장의 미쟝센과 테크닉을 우선하여 보게 되니 아무리 좋은 이야기라도 주객전도를 피할 길이 없다. 로저 디킨스 영화의 장점이자 최대 단점을 생각해 봐...,7
2933,,10
2934,"1년 안에 본 영화중 최고의 영화!기생충과는 다른 결의 영화로 어떤 작품이 더 좋았나를 논 할순 없을 듯. 특정 부분에서 다소 개연성이 없다고 느껴질 수 있지만,일상 영화가 아닌 한치 앞을 예상 할 수 없는 전쟁터를...",10
2935,꼭 극장에서 보셔야 합니다,8
2936,"아....끝으로가며""이전쟁은 여기있는모든군인들이죽어야끝난다"" 는 대사....정말 전쟁은일어나면 절대로안된다는것!봉준호감독님  정말 운이좋으신듯특별히 이건오스카작품상감이닷싶은영화가 해외작품에선없었네요",9
2937,개재미없다 진짜로 평점 낚시 글 아니냐..,1
2938,보면 볼수록 어떻게 이런 롱테이크를 잘 이어붙혔는지 궁금해진다,10
2939,,9
2940,전쟁은 허무하다. 촬영은 예술이다.,8
2941,카메라구도가 앞을 잡지않아 언제 뭐가 튀어나올지 몰라 가슴졸이며 지루할틈 없이 재밌게봤어요 .,10
2942,"연결선에서 몰입감이 떨어지는 부분이 많았습니다. 디테일하게 따져서 아쉽고 궁금한 부분이 정말 많지만, 개인적으로 정말 많이 아쉬운 영화에요. 카메라 무빙과 연출에 비해 너무 아쉽네요.",7
2943,전쟁은 절대 일어나서는 안된다...너무 참혹함을 느꼈다,8
2944,,10
2945,인생영화입니다 예술 그 자체..,10
2946,원테이크로 찍은 영상미가 너무 미쳤습니다.스코필드 질주씬이 가장 기억에 남네요.,9
2947,또 하나의 명작 탄생이네.아이맥스 관람 추천드립니다,10
2948,캬 진짜 쩔더라~~~마지막에 사선에서 뛰는데.. 햐~~~명작이다 명작!!!,10
2949,간단한 스토리에 하나의 전쟁을 모두 담아낸 연출이 놀랍다,10
2950,전쟁영화에서 라이언 일병 구하기 노르망디 상륙작전 장면 촬영 기법이 전쟁 영화계에서 엄청나게 영향을 주고 추후에 나오는 여러 전쟁 영화에서 많이 사용되었는데 1917 촬영 기법은 다른 추후 전쟁영화가 나온다해도 19...,10
2951,몰입감이 장난 아님. 호불호 갈리는 것 같지만 개인적으로는 롱테이크 연출이 몰입감을 높였다고 생각함. 로저 디킨스의 완벽한 촬영이 백미라서 코로나만 아니었으면 용아맥 N차 찍을 영화.,10
2952,"1차대전이라는 거대한 지옥속에 내던져진 기분이 들다가, 끝내 살아남았다는 것을 느끼게 됐을때 경이로우면서도 묵직한 감동을 느꼈다.",9
2953,재밌다재밌다재밌다재밌다,10
2954,첫장면에 상관이 아무나 데리고 따라오라는 말의 무게가 얼마나 큰지 영화가 끝나봐야 안다앉아있는 사람만 돌아오고 누워있는 사람은 끝끝내 돌아오지 않았다,10
2955,오히려 단순한 스토리에 억지로 짜네는 스토리가 없어 좋았다.영화보며 내가 그시대에 있다면 철조망에걸려 썩어가는 시체중 한명이 아닐까...전쟁은 수퍼맨이 아닌 평범한 우리들이 그곳에 있었다....,8
2956,,10
2957,어디까지가 세트장인지 구분이 안됨 카메라 주인공 주위로 회전하며 찍어내는게 어떻게 찍었는지 궁굼하네요,10
2958,"잠깐 쉬는거라는 말.전쟁 영화를 볼때마다 느끼는건, 전쟁은 절대 일어나선 안되는  일!!",10
2959,최고의 영화!!! 진짜 강추,10
2960,달리는 보병은 성인(聖人)과 같다.,9
2961,"이영화가 어떤시각으로 봐야 훌륭한 작품인지 저는 모르겟네요.스토리/연출/배우연기 제눈엔 그저 평범해 보이는 전쟁영화로밖에,전쟁영화의 스펙터클한 장면은 0 / 휴머니즘? 0 / 스토리의 개연성 0 / 엉성한 결론 머 ...",3
2962,,10
2963,거의 1인칭 시점의 꾸준함으로 따라가게 되는,7
2964,재미이쓴라차차파햏 ㅇ,10
2965,롱테이크가 선사하는 한줄의 운율은 장엄하기까지하다.,10
2966,재밋어요 슬픔느낌이많음,10
2967,원테이크라서 너무 신기했음. 딱 신기했음.. 거기까지임..영화가 잼있진 않음.. 지루한면도있고.. 근데 신기해서 끝까지 봤음... 다시한번 말하지만 잘만든영화이고 아주 신기했음... 허나.. 잼있진 않음.,7
2968,메세지는 없지만 경이로움은 있네.,8
2969,특별할것 없는 아주 단순한 줄거리를 갖고도 기존 영화와 확연히 다른 몰입력과 긴장감을 줄 수 있었던 이유는 관객이 전쟁영화로부터 기대하는 것이 무엇인지 정확히 읽어낸 감독의 공이 크지않았나 싶다.,10
2970,비장한 마음으로 보러 갔고 참담한 심정으로 나왔다.. 전쟁의 모든 걸 담은 듯한 위대한 영화,9
2971,,10
2972,카메라 연출 끝판왕. 영화관에서 봐야 하는 이유.,10
2973,국내감독들은 이거보고 반성좀 하자,10
2974,전쟁판 레버넌트 같은 느낌,9
2975,왠만하면 안남기는데 이건 어나더 레벨 이런그케일에 이런 원태이크를 영화관서 안보면 진심 후회,10
2976,전쟁은 절대 일어나면 안된다는걸 뼈저리게 알게해줍니다. 내가 저상황이라면 총알한방에 내목숨이 위태로운데도 임무완수 하는거보면서 대단한 용기에 박수보내드립니다.,10
2977,기대를 해서 그런지 별로더라,6
2978,볼만했으나 루즈하고 지루했던 것도 사실중간 중간 스토리 맥락도 다소 부족,6
2979,와..진짜.. 이건 꼭 극장에서 봐야한다.,9
2980,롱테이크 진짜 대박.. 언제끊길까 조마조마하면서 계속 보게됨,9
2981,영화는 나쁘지 않은데. 평점에서 하도 극찬을 해놔서 기대를 너무 많이 하고 갔다 생각만큼 재밌지는 않았음 또보고싶다거나 그렇진 않음,6
2982,꼭 극장에서 보세요.... 간만에 처음부터 끝까지 몰입했습니다.모니터나 TV로 보면 이 영화를 제대로 느끼지 못할겁니다.,9
2983,롱테이크 장난아니네요..잘봤습니다!,10
2984,"전쟁영화의 정석은 아니지만, 새로운 연출로 마치 전장에 있는듯한 착각과 긴장의 연속이었다",10
2985,"올해 들어 본 가장 좋은 영화, 아니 인생 영화 중 하나가 됐다. 전쟁의 허망함.. 그럼에도 해내지 않으면 살아갈 수 없는 군인의 심리가 마치 직접 겪고있는 듯 생생하게 느껴진다. 정말 좋은 영화다.",10
2986,이런 또다른 기법으로 보는 재미를 올렸다는 점에서 높이 평가,8
2987,라이언 일병 구하기 1차 세계 대전 버전.,10
2988,"신기하고 새롭다. 새로워서 낯설다. 멀미 조금 있음 (사울의 아들 같은 느낌). 실화에 바탕을 두었으나, 세세한 고증은 많이 없는 전쟁영화. 촬영기법에 중점을 둔 두어 스토리가 빈약해 보일 수 있음. 자유도가 낮은 ...",8
2989,최고의 1인칭시점 전쟁영화,10
2990,우씨 깜짝이야 ㅠㅠ대단한 연출력 볼만합니다,9
2991,"롱테이크의 촬영기법과 영화의 음악, 연출은 매우 좋았다. 그러나 멀미가 났었고 깜짝 놀라게 만드는 씬이 많아 매우 불편했다.. 오스카상을 받을 만한 작품이란 건 여지 없이 인정하나 중반부 루즈해졌고 힘들어졌다",5
2992,라이언일병 구하기 이후로 나온 전쟁영화 중 최고라 생각한다. 다만 너무 루즈한 내용전개가 아쉬움,7
2993,"제일 놀랐던건 롱테이크도 미쳤지만 셋트장이 경이로웠다 흙 , 돌  .나무 가지 하나하나에 신경쓴게보였다 재밌다 감동스러웠다보단 경이로운 영화였다",10
2994,롱테이크로 이정도 수준의 영화를 완성할 수 있다는게 보고도 믿기지 않는다. 이 영화는 시작에서 끝날때까지 딱 3번 카메라를 끄고 다시켰다.이정도 퀼리의 장편영화를 완성할 수 있다는데 경의를 표한다.,9
2995,명작 이다 다른 말이 필요가 없다.정말 영화관가서 봐야 하는 영화다.시간 가는줄 모르고 봤습니다.,10
2996,롱테이크 촬영기법을 정말로 잘 활용한 영화. 앞으로 한동안 제1차세계대전을 소재로한 영화들중 최고의 명작으로 남을듯,10
2997,"그 어떤 감성팔이 없이 감동시키는 영화촬영기법, OST, 연기 모두 ㅅㅌㅊ보고나서도 몇일째 여운남는다",10
2998,"재미도 없고, 감동도 없고, 그렇다고 전쟁영화에서 기대할 만한엄청난 전쟁씬도 없는 재미없는 영화.완전 실망 ㅡㅡ",1
2999,라이언일병구하기BOB1917,10
3000,전쟁영화는 확실히 서양이 잘 만드네요. 전쟁터에 함께 갔다온 느낌입니다.,9
3001,아카데미 후보자라 기대는 많았는데 전체적인 스토리는 별루였네요,8
3002,알바들고용그만해라~부대찾으러가다끝남 내용끝,1
3003,진짜 인생영화 됐음 ㄹㅇ 내 기준으로 기생충보다 더 여운 남는 영화...특히 촬영기법이 롱테이크라 몰입감 장난아님 2컷만 존재한다는데 미친거아님? 전쟁영화 안.보는데 진짜 감동...,10
3004,10점 안 줄 수 없는 영화,10
3005,이 영화는 연출만 있는게 아니라 디테일이 잘 ㅅ녹아있음 스코필드가 강물에 통나무를 잡고 피곤에 절어있을 때 체리 꽃을 보고 정신차리는 장면은 참... 인생 영화 개인적으로 덩케르크보다 잘만든 영화라 생각됨,10
3006,개연성 따위 필요 없고 촬영기술 위대함만 강조... 그냥 일인칭 슈팅게임 스토리,4
3007,한번 시작되면 멈출 수 없다,10
3008,,10
3009,"연출 정말 좋았고,영화보는 내내 긴장감을 갖고 봤네요.. 재미있게봤어요",9
3010,게임시나리오를 영화로 만든 느낌,8
3011,,10
3012,"미친 몰입감과 연출, 마치 전쟁을 치룬 듯한 기분마저 들게 하는 카메라의 동선에 감탄에 감탄을 금치 못했다.",10
3013,처음에 아 무슨영화였지 예고안봤는데 보다보니 살면서 이렇게 심장 쫄리는 영화처음.. 음악이 주는 긴장감 대박... 계속 보다보면 벌써 끝남? 이런느낌의 영화 처음임,10
3014,두사람과 함께 대화하며 걷는듯한 느낌에 주인공과 관객이 함께 위험에 빠진거 같은 몰입감을 준다.오롯이 두 인물에게만 집중하게끔 하여 영화가 막이내린 후에도 두 인물의 대화가 기억에 선명하게 남는다. 또 연기자들의 과...,10
3015,ㄹㅇ 미친영화다.. 존나 몰입해서봄,10
3016,연출과 연기가 인상적이었다. 영화관에서 봐야 더 잘 느낄 수 있음.,9
3017,이영화를 보고난 나의눈을 버리고싶은영화네역대급으로 쓰레기같은영화네,1
3018,원테이크 기법의 연출이 눈에띄는 영화. 주인공을 제외한 눈에 익은 배우들 찾는 재미도 쏠쏠. 긴장감도 적당하고 전쟁영화라 잔인함을 걱정했지만. 큰 불편함 없이 보았음. 작품성으론 매우만족. 중간중간 영상미도 멋졌다는...,10
3019,버드맨으로 촬영 기술의 발전에 한발 더 다가가고 1917이 그 정점을 찍었다. 중간에 자칫 지루해 질 수 있지만 주인공을 따라가는 시점으로 몰입감이 끊기지 않는다. 거기다 새벽에 마을에서 탈출하는 부분은 로저 디킨스...,8
3020,아 진짜 미쳤다 후반부 달리기 할때 나도 같이 뛰는줄진짜 숨이 턱턱막히고 후반부는 진짜 울면서 봤음,10
3021,수작- 이라는 말이 어울림.원테이크처럼 느껴지는 영화를 찍을 생각을 어찌 했을까. 성의있는 연출과 편집에 감동 ㅠㅠ아이맥스로 볼 필요 없구 그냥 앞 자리서 보심 충분해요 ㅇㅇ,10
3022,이 영화 등장인물이 한명이라고해도 될정도ㅋㅋㅋ 그래서인지 절대죽지않는다,9
3023,,10
3024,"만점도 모자란 작품. 촬영~ 미쳤습니다.몰입도 정말 좋고, 전쟁 명작 탄생!",10
3025,딘 찰스 채프먼이 왕좌의 게임의 토멘 바라테온(서세이 제이미 사이의 아들)을 연기했다는 사실에 기절초풍.. 동일인이었다니ㅋㅋ 영화 정말 추천합니다 연출이 미쳤어요 근데 스토리는 없음..미션을 수행해야 하는 일병의 시...,10
3026,나라면 저상황에서 임무를 완수할수있었을까,8
3027,참혹하고 슬픈 전쟁속에 한편의 모노드라마,10
3028,롱테이크뿐만아니라 연출의 완벽함,10
3029,1차 세계대전은 복잡해서 뭐가 뭔지 모르겠다,7
3030,아이맥스로 보세요 무조건,9
3031,불가능할것같은 걸 해내는 헐리웃 기술의 정점. 덩케르크가 그랬던 것처럼 이 영화는 그보다 한발 더 나아가 관객을 전쟁터에 하루동안 데려다놓고 처절하고 황망한 전쟁의 풍광과 주인공의 절실함을 모두 공감하게 했다. 그저...,10
3032,,10
3033,"롱테이크샷을 절묘하게 이어붙여서, 마치 캐릭터의 삶을 '편집 없이' 관망하는 느낌이었다.스토리 자체는 평이했으나 이를 아주 아름답게 살려냈다. 한마디로 평볌한 재료로 조미료 적게 쓰고 담백한 풍미의 끝...",9
3034,"이 영화는 극장에서 꼭 봐야할 영화!!처음부터 끝까지 긴장을 놓을 수 없었고, 감독의 촬영기법 대단하다 정말",10
3035,"촬영 연출 연기 음악, 모두 잘 어우러진 예술 작품. 스토리는 단순한데 생각하고 이야기할게 참 많은 영화.",10
3036,"몰입감이 엄청난 영화. 관객인 내가 주인공과 함께하는 느낌이 들 정도이고 촬영에 조예가 전혀 없는 내가 봐도 뛰어나다는 생각이 든다. 다만, 전쟁영화에 관심이 없다면 재미없게 느껴질수도 있을 듯하다.",10
3037,"주연 배우가 멱살 잡고 끌고 감..! 원테이크 기법에 영상미, 연기 모두 완벽하고 거기에 ost까지 더해져 정말 흠잡을 곳 없음 가능하다면 IMAX로 보는 걸 추천!",10
3038,전장의 고조된 긴장감을 잘 캐치한 수작,9
3039,진짜 이거 어케 한 거임? 편집점이 없엉.. 아이맥스로 보니 스코필드랑 같이 다닌 듯 해서 그런가 끝날 때 돌아갈 걱정함. 그냥 왔던 대로 돌아가라고 보낼 건 아니지?ㅠㅠ,10
3040,기생충에 견줄만한 영화임연출이 대단한 영화.,9
3041,영화를 보고난 후 전쟁과 종교에 대해 생각해보았다. 죽이고 싶지 않아도 죽일 수밖에 없고 찬양을 부르고 사람을 죽이러 가야 하는 게 전쟁이다. 전쟁은 살인하지 말라는 신의 명령을 위반하는 것인데 신은 전쟁에서 자신의...,10
3042,내생전 살다가 이런 원테이크촬영기법 영화 첨보는데 미쳤네요,10
3043,지루하진 않고 긴장감에 몰입하며 봣다,9
3044,화려하게 꾸며진 맛없는 음식,3
3045,네이버에 평점 남기는건 처음이네요 이 영화는 미쳤습니다 인생작임,10
3046,롭스타크가 토멘의 죽음을 슬펴하다,9
3047,중간중간에 의미없는 씬 같다고 해야하나. 스토리에 딱히 관련이 없는데 끼워져 있는 장면이 많음. 다보고나니 그런 장면들이 도대체 왜 들어있었는지 어떤 메시지를 주고 싶었던 건지 잘 이해가 안 됐음. 롱테이크로 찍어서...,8
3048,전쟁영화나 롱테이크 기법이 나올때마다 앞으로 계속 화자될 영화이고 미친영상과 함께 돌은연출은 내가 눈을 깜빡이는것조차 잊게만든다.,10
3049,26년살면서 이런영화 처음임전쟁영화를 한 카메라에 찍다니 개미쳤다,10
3050,영화임에도 불구하고 너무 많은 것을 '말하려는' 영화도 있는 반면 이 영화는 그저 잘 '보여준다',8
3051,소문보단 별로다...초반엔 사실감 및 몰입감이 뛰어나나 갈수록 스토리 부재 등으로 용두사미...,7
3052,무슨 RPG 게임 보는줄 알았다! 최고!,10
3053,"연출력 하나만으로도 볼 가치가 있는 그런 영화..그런데 그것을 넘어서는 연기와 음향, 그리고 몰입도",10
3054,,8
3055,주인공이 왜 집으로 가기 싫어 했는지 알고 싶음,7
3056,"격렬한 전투씬이 없는 전쟁영화지만 지루할 틈 없이 전장에 나가 주인공과 같이 있는 느낌이 들었다. 영화를 보고야 영상미, 촬영기법, 음악 등이 골고루 어우러져 아카데미상에 그토록 많이 노미네이트 된 이유를 알게 되었...",9
3057,"압도적인 음악과 배우의 처절한 연기,그리고 원테이크라는 촬영기법으로 인해전쟁의 무의미함과 잔혹함, 씁쓸함을 알게된 영화.몇미터의 땅을 가지겠다고 3년을 싸웠다는 말은이 영화의 모든것을 말하는 명대사이다",10
3058,"경이로운 촬영기법과 연출에 한번 놀라고, 거기에 이런 엉성한 스토리가 걸쳐졌다는데에 두번 놀랐다",7
3059,"연출, 음향이 너무 잘 어우러져서 몰입감이 두배입니다! 정말 예술영화 그 자체!",9
3060,2명의 일병들로 시작해서 덤덤하게 이야기를 이끌어나가지만 너무나 현실적인 죽음과 스토리가 정말 흡입력이 강하다!!! 영화관 아이맥스로 다들 보시길... 원테이크영상이라 더 몰입되고 긴장넘치고 빠져드는 영화였음 ㅠㅠ,10
3061,"여기 댓글들 다 믿지 마세요. 진짜 전쟁영화로 생각하고 보면 기대보다 실망이 큽니다. 생각외로 스케일 후지고, 그냥 여정을 나타내는게 전부입니다....비추",2
3062,영화관이 존재하는이유 전쟁영화를 보기위헤서다,10
3063,목숨을 걸어 싸운 전쟁의 무의미함에 대항하는 젊은이들의 강렬한 속외침.,9
3064,촬영상 만큼은 기생충을 응원할 수 없게 만든 영화,10
3065,"영화관에서 두번 봤음. 좋았던점) 전례없는 롱테이크에 감탄, 사실적인 연출(끝도없이 이어지는 참호랑 엑스트라 숫자가 압권), 실제로 전장에 있는 듯한 현장감 아쉬웠던점) 조금 치밀함이 떨어지는 시나리오, 개연성 (특...",8
3066,참전한 한 청년이 주인공인 1인칭 시점의 한편의 소설을 읽은 듯한 느낌.. 결말도 전쟁소설의 마지막 장면을 보는 것 같이 여운이 진하게 남아서 영화가 끝난 후에도 손이 덜덜 떨렸다.,10
3067,비교하긴 싫은데 개인적으로 라이언 일병 구하기 보단 살짝 못한거같다 그래서 조금 아쉬운건 있음,7
3068,모든 면에서 탁월한 영화. 꽃잎이 이토록 잔인하게 서글플수가.,10
