,리뷰,평점
201,정말 단순한 스토리에 비해 몰입도가 이상하리만큼 높은 영화. 진짜 재밌게 봤는데 왜 재밌는지 이해 안가는 영화,8
202,"독일군 파일럿을 도와줬을때 , 왜그랬을까 생각이 드네요. 그외엔 역사적 고증이 잘 된거 같습니다.기생충 덕분에 오스카 시상은 못받았지만, 그 이상의 감동을 줍니다. 추천합니다 1차대전: 제국주의에 대한 내용은 없고 ...",10
203,영화사에 남을 걸작의 탄생. 전쟁영화 애호가라면 꼭 볼 것.,10
204,"대체 왜? 기생충이 이겼는지 의문이 든다. 솔직히 이건 기생충이 실력있는 아마추어 대학생이 만든거라면, 1917은 프로페셔널 경력 30년된 전문가가 자신의 모든 기술과 경험, 영혼을 갈아만든 명작이다. 이게 상탔어야...",10
205,,10
206,덩케르크를 보고 이런 실감나는 전쟁영화가 있을까 했던 감상이 무색해지는 영화.... 담날 출근인데 10시55분에 imax본나..ㅆㅅㅌㅊ,10
207,모두 말하지만 역시나 롱테이크수작 영상미 촬영기법 모두 흠잡을데 없음 조지 맥케이 연기도 좋았다,10
208,그냥 제정신이 아닌영화임... 감히 평가할수없음,10
209,이거 보고 인생영화 갈아치움ㅠㅠ,10
210,소문난 잔치에 먹을 게 없었다 롱테이크 촬영은 놀랍기는 했으나 오히려 지루함을 유발하였고 금방 지치게 만들었다,6
211,정말 이런영화는 처음이네요 미쳤다만 말하다 나왔어요!!,10
212,영화답게 주인공은 총에 안맞는데 현실성 없는 주인공의 막장내용 길게보면 스토리없는 어지간한 외국 b급영화,4
213,"2020 최고의 영화, 몰입감 및 음악, 모든게 완벽",10
214,1차세계대전을 참전한기분.,10
215,"카메라 대박 촬영, 영상미 대박",10
216,버드맨의 롱테이크가 놀랍다면 1917의 롱테이크처럼 보이는 연출기법은 경이롭다.,10
217,영화보는 내내 주인공과 한몸이 된 듯 긴장감을 놓을 수 없었다,10
218,셋이 달렸다.어후.힘든 느낌..,10
219,그냥 한마디로 미쳤다 이런영화를 방구석에서 봤다니 안타까울따름 마지막 부분에선 정말 숨도 못쉬고 봄,10
220,"전쟁영화 스트레스 받아 안보는데하도 유명해서 궁금했어요전쟁보다 더 중요한 사람 인물 이야기에 빠져들어 잘봤어요책임감 강하고 용감한, 그러면서도 마음씨 따뜻한 주인공♡ 아주잘했다고 꼭안아주고 토닥여 주고싶었네요ㅡㅠ♡감...",8
221,배그유저로서 시작부터 끝까지 답답했다.시야 확보 안하고 들어가는거부터 위치 들켰는데 그 자리 고수하고 공격 당하면 어리버리타고.. 불타는 광장 앞에서 적군이 오는데 가만 있다가 총쏘니까 도망가는 모습은 진짜 군인이 ...,4
222,영화관에서 혼자보니까 너무 무서웠어요..,10
223,실화스토리를 연출력으로 커버하여 극대화 한 영화. 극장에서 볼 걸..,9
224,와 와 와. 이러다 영화 끝남. 너무 재밌고 시간 가는 줄 모르게본 영화.,10
225,"형이다. 오늘 봤다. 최근 1년간 본 영화 중, 2위다. (1위 포드 v 페라리, 극장에서 5번 봄) 조만간 한번 더 본다.",10
226,푹 빠져서 본거같다. 나도 모르게 눈물이 흘러 몰래 훔치느라 혼났다.,10
227,연출도 미쳤고 연기도 너무 좋다,10
228,보는내내 실제 그 현장에 있는것 같아 괴로웠다...하지만 신파로 가득찬 한국영화에 익숙해서 그런지 스토리는 단조롭게 느껴졌다...은근 유투브리뷰들이 촬영기법 설명하는척하면서 광고하는것 같은 느낌도 많이들었음,7
229,아니 걍 메시지 전달하고 끝? 진짜 스토리 이거 말고 뭔가 있겠지 있겠지 하며 2시간을 끌다 암것도 없이 끝나네 ㅡㅡ;;;;,5
230,"주인공과 호흡하고 분노하고 두려워하며 가쁜 숨을 몰아쉬다 끝내 안도함에 다다르는, 결이 다른 대작. 덩케르트의 현란한 편집과 대척점에 놓인 원테이크지만 긴장감의 수준은 오히려...",10
231,자동차 극장에서 봤는데 음악과 영상이 보면 볼수록 손에 땀이 났어요. 극적인 대규모 전쟁장면은 없었으나 실제 전쟁 속에서 저런 상황이면 어땠을까 생각하고 보니 더 감동적인 것 같아요.,10
232,,10
233,영화 진짜 잘 만들었네요...잘봤습니더 정말 꼭 보세요,10
234,위대한 여정이 맞습니다.,10
235,,10
236,이거 어떻게 찍은 거냐.. 경이롭다,10
237,"아,,, 전쟁은 있어서는 안돼,,,,",10
238,,10
239,잘찍은 원테이크 촬영과 적절한 감동의 전쟁영화가작품상과 감독상을 받는건 아니란것을.,8
240,,10
241,모든 장면이 최고다.100퍼 공감과 그속의 감동.시간이 그냥 마구간다. 전쟁의 허무함.윗대가리들의 욕심에 목숨잃는 무고한 순수한 청년들.,10
242,진짜 이게 최다 수상했어야 했는데,10
243,너무 재미있었다 맨마지막에는 감동받아서 울뻔했다,9
244,어마어마합니다.. 최고!!,10
245,라이언 일병 구하기와 비슷한 느낌입니다. 참신하진 않지만 재밌긴 합니다,8
246,달리다 끝나는 영화 너무 기대했나?,7
247,앞으로도 많이 회자될 영화라고 생각합니다.,10
248,영화관 가서 봐야 더욱 진가를 느낄 수 있는 작품! 역주행해서 지금 박스오피스 1위인데 다들 보시길!,10
249,와 정말 최고의 영화입니다.배우들 특히 스콜필드님의 고생 스텝들의 고생이 느껴지네요. 정말 빠져들어서 봤습니다.연출 연기 스토리 영상미 음악.. 모두 굿,10
250,인생영화ㅠㅠ보는내내심장이쫄깃했다 꼭영화관가서봐야된다,10
251,코로나 없었으면 500만 넘었다 공감 추천 비공감 비추천,10
252,이번년도 코로나 땜에  힘들지만  이영화가  모든걸 위로해 주었습니다. 1917 마스크 꼭 쓰고  보세요.,10
253,전 노잼 이었네요. ㅡㅡ초반 잼나다가 중반에 마을에서 부터 노잼ㅡ 너무 말이 안되는 장면리 많음..  마지막엔 조금 나아짐 ㅜㅜ 9쩜짜리 영화는 아닌듯,1
